ID,Age,Experience,Income,Family,CCAvg,Education,Mortgage,Personal Loan,Education_cat
1,25,1,49.0,4,1.6,1,0.0,No,Undergrad
2,45,19,34.0,3,1.5,1,0.0,No,Undergrad
3,39,15,11.0,1,1.0,1,0.0,No,Undergrad
4,35,9,100.0,1,2.7,2,0.0,No,Graduate
5,35,8,45.0,4,1.0,2,0.0,No,Graduate
6,37,13,29.0,4,0.4,2,155.0,No,Graduate
7,53,27,72.0,2,1.5,2,0.0,No,Graduate
8,50,24,22.0,1,0.3,3,0.0,No,Advanced/Professional
9,35,10,81.0,3,0.6,2,104.0,No,Graduate
10,34,9,180.0,1,5.2,3,0.0,Yes,Advanced/Professional
11,65,39,105.0,4,2.4,3,0.0,No,Advanced/Professional
12,29,5,45.0,3,0.1,2,0.0,No,Graduate
13,48,23,114.0,2,3.8,3,0.0,No,Advanced/Professional
14,59,32,40.0,4,2.5,2,0.0,No,Graduate
15,67,41,112.0,1,2.0,1,0.0,No,Undergrad
16,60,30,22.0,1,1.5,3,0.0,No,Advanced/Professional
17,38,14,130.0,4,4.7,3,134.0,Yes,Advanced/Professional
18,42,18,81.0,4,2.4,1,0.0,No,Undergrad
19,46,21,186.5,2,5.2,3,0.0,Yes,Advanced/Professional
20,55,28,21.0,1,0.5,2,0.0,No,Graduate
21,56,31,25.0,4,0.9,2,111.0,No,Graduate
22,57,27,63.0,3,2.0,3,0.0,No,Advanced/Professional
23,29,5,62.0,1,1.2,1,252.5,No,Undergrad
24,44,18,43.0,2,0.7,1,163.0,No,Undergrad
25,36,11,152.0,2,3.9,1,159.0,No,Undergrad
26,43,19,29.0,3,0.5,1,97.0,No,Undergrad
27,40,16,83.0,4,0.2,3,0.0,No,Advanced/Professional
28,46,20,158.0,1,2.4,1,0.0,No,Undergrad
29,56,30,48.0,1,2.2,3,0.0,No,Advanced/Professional
30,38,13,119.0,1,3.3,2,0.0,Yes,Graduate
31,59,35,35.0,1,1.2,3,122.0,No,Advanced/Professional
32,40,16,29.0,1,2.0,2,0.0,No,Graduate
33,53,28,41.0,2,0.6,3,193.0,No,Advanced/Professional
34,30,6,18.0,3,0.9,3,0.0,No,Advanced/Professional
35,31,5,50.0,4,1.8,3,0.0,No,Advanced/Professional
36,48,24,81.0,3,0.7,1,0.0,No,Undergrad
37,59,35,121.0,1,2.9,1,0.0,No,Undergrad
38,51,25,71.0,1,1.4,3,198.0,No,Advanced/Professional
39,42,18,141.0,3,5.0,3,0.0,Yes,Advanced/Professional
40,38,13,80.0,4,0.7,3,252.5,No,Advanced/Professional
41,57,32,84.0,3,1.6,3,0.0,No,Advanced/Professional
42,34,9,60.0,3,2.3,1,0.0,No,Undergrad
43,32,7,132.0,4,1.1,2,252.5,Yes,Graduate
44,39,15,45.0,1,0.7,1,0.0,No,Undergrad
45,46,20,104.0,1,5.2,1,0.0,No,Undergrad
46,57,31,52.0,4,2.5,1,0.0,No,Undergrad
47,39,14,43.0,3,0.7,2,153.0,No,Graduate
48,37,12,186.5,4,0.2,3,211.0,Yes,Advanced/Professional
49,56,26,81.0,2,4.5,3,0.0,No,Advanced/Professional
50,40,16,49.0,1,1.8,1,0.0,No,Undergrad
51,32,8,8.0,4,0.7,2,0.0,No,Graduate
52,61,37,131.0,1,2.9,1,0.0,No,Undergrad
53,30,6,72.0,1,0.1,1,207.0,No,Undergrad
54,50,26,186.5,3,2.1,3,240.0,Yes,Advanced/Professional
55,29,5,44.0,1,0.2,3,0.0,No,Advanced/Professional
56,41,17,139.0,2,5.2,1,0.0,No,Undergrad
57,55,30,29.0,3,0.1,2,0.0,No,Graduate
58,56,31,131.0,2,1.2,3,0.0,Yes,Advanced/Professional
59,28,2,93.0,2,0.2,1,0.0,No,Undergrad
60,31,5,186.5,2,4.5,1,252.5,No,Undergrad
61,49,24,39.0,3,1.7,2,0.0,No,Graduate
62,47,21,125.0,1,5.2,1,112.0,No,Undergrad
63,42,18,22.0,1,1.0,1,0.0,No,Undergrad
64,42,17,32.0,4,0.0,2,0.0,No,Graduate
65,47,23,105.0,2,3.3,1,0.0,No,Undergrad
66,59,35,131.0,1,3.8,1,0.0,No,Undergrad
67,62,36,105.0,2,2.8,1,252.5,No,Undergrad
68,53,23,45.0,4,2.0,3,132.0,No,Advanced/Professional
69,47,21,60.0,3,2.1,1,0.0,No,Undergrad
70,53,29,20.0,4,0.2,1,0.0,No,Undergrad
71,42,18,115.0,1,3.5,1,0.0,No,Undergrad
72,53,29,69.0,4,1.0,2,0.0,No,Graduate
73,44,20,130.0,1,5.0,1,0.0,No,Undergrad
74,41,16,85.0,1,4.0,3,0.0,No,Advanced/Professional
75,28,3,135.0,2,3.3,1,0.0,No,Undergrad
76,31,7,135.0,4,3.8,2,0.0,Yes,Graduate
77,58,32,12.0,3,0.3,3,0.0,No,Advanced/Professional
78,46,20,29.0,3,0.5,2,0.0,No,Graduate
79,54,30,133.0,2,2.6,3,0.0,Yes,Advanced/Professional
80,50,26,19.0,2,0.4,1,118.0,No,Undergrad
81,60,36,41.0,4,1.3,1,174.0,No,Undergrad
82,47,22,40.0,3,2.7,2,0.0,No,Graduate
83,41,16,82.0,1,4.0,3,0.0,No,Advanced/Professional
84,33,9,50.0,1,2.4,2,0.0,No,Graduate
85,46,22,18.0,1,0.9,3,0.0,No,Advanced/Professional
86,27,2,109.0,4,1.8,3,0.0,No,Advanced/Professional
87,40,16,42.0,4,2.2,2,126.0,No,Graduate
88,48,22,78.0,3,1.1,1,0.0,No,Undergrad
89,65,41,51.0,2,1.1,1,0.0,No,Undergrad
90,25,-1,113.0,4,2.3,3,0.0,No,Advanced/Professional
91,55,30,118.0,4,5.2,2,0.0,Yes,Graduate
92,35,10,29.0,4,1.1,3,0.0,No,Advanced/Professional
93,43,19,34.0,3,0.6,2,0.0,No,Graduate
94,60,34,64.0,2,1.7,3,236.0,No,Advanced/Professional
95,65,39,121.0,1,2.0,1,0.0,No,Undergrad
96,38,12,48.0,4,0.2,3,0.0,No,Advanced/Professional
97,41,15,80.0,1,5.2,1,0.0,No,Undergrad
98,54,28,161.0,1,2.9,1,0.0,No,Undergrad
99,49,23,94.0,1,0.3,1,0.0,No,Undergrad
100,66,41,15.0,3,0.1,3,0.0,No,Advanced/Professional
101,48,23,74.0,1,1.2,1,0.0,No,Undergrad
102,61,36,30.0,3,1.3,2,0.0,No,Graduate
103,53,23,44.0,3,1.0,3,198.0,No,Advanced/Professional
104,43,18,22.0,2,0.3,2,0.0,No,Graduate
105,56,32,38.0,4,1.3,1,166.0,No,Undergrad
106,24,0,35.0,3,0.1,2,0.0,No,Graduate
107,43,17,69.0,4,2.9,1,0.0,No,Undergrad
108,42,18,43.0,1,0.7,1,136.0,No,Undergrad
109,33,7,32.0,1,0.6,3,166.0,No,Advanced/Professional
110,43,17,49.0,1,2.8,1,0.0,No,Undergrad
111,41,14,9.0,3,1.0,2,0.0,No,Graduate
112,62,38,45.0,4,1.3,2,0.0,No,Graduate
113,40,15,82.0,3,1.0,1,252.5,No,Undergrad
114,58,34,92.0,2,2.8,1,103.0,No,Undergrad
115,39,14,39.0,3,0.5,3,0.0,No,Advanced/Professional
116,65,40,81.0,3,1.8,2,0.0,No,Graduate
117,54,29,35.0,1,1.5,2,0.0,No,Graduate
118,58,33,61.0,2,2.3,3,193.0,No,Advanced/Professional
119,41,16,73.0,3,3.0,1,0.0,No,Undergrad
120,32,7,112.0,1,4.6,1,252.5,No,Undergrad
121,54,29,12.0,2,0.2,3,0.0,No,Advanced/Professional
122,52,26,38.0,3,0.9,3,0.0,No,Advanced/Professional
123,58,32,73.0,2,0.7,2,0.0,No,Graduate
124,37,13,84.0,1,3.6,2,0.0,No,Graduate
125,39,15,78.0,4,2.4,1,118.0,No,Undergrad
126,60,35,80.0,3,0.5,1,0.0,No,Undergrad
127,31,5,115.0,2,1.3,1,101.0,No,Undergrad
128,34,8,82.0,1,2.7,2,251.0,No,Graduate
129,38,14,74.0,2,0.0,1,0.0,No,Undergrad
130,41,16,70.0,3,0.5,3,0.0,No,Advanced/Professional
131,28,4,81.0,3,1.5,1,252.5,No,Undergrad
132,58,34,149.0,4,5.2,2,0.0,Yes,Graduate
133,31,1,51.0,2,1.75,3,0.0,No,Advanced/Professional
134,30,4,39.0,3,1.1,2,0.0,No,Graduate
135,53,29,98.0,3,1.8,2,0.0,No,Graduate
136,58,33,45.0,4,2.1,1,0.0,No,Undergrad
137,59,32,49.0,4,2.5,2,0.0,No,Graduate
138,49,25,128.0,2,0.4,1,0.0,No,Undergrad
139,59,34,42.0,3,1.5,1,0.0,No,Undergrad
140,59,35,18.0,1,1.2,3,0.0,No,Advanced/Professional
141,51,25,31.0,2,0.4,3,161.0,No,Advanced/Professional
142,35,11,58.0,3,2.0,1,149.0,No,Undergrad
143,33,9,48.0,1,2.1,3,0.0,No,Advanced/Professional
144,25,1,54.0,4,1.6,1,0.0,No,Undergrad
145,49,23,70.0,2,1.5,2,0.0,No,Graduate
146,59,35,124.0,1,5.2,1,0.0,No,Undergrad
147,46,19,84.0,1,2.6666666666666665,2,0.0,No,Graduate
