ID,Age,Experience,Income,Family,CCAvg,Education,Mortgage,Education_cat_Advanced/Professional,Education_cat_Graduate,Education_cat_Undergrad,Personal Loan
1,25,1,49.0,4,1.6,1,0.0,0,0,1,0
2,45,19,34.0,3,1.5,1,0.0,0,0,1,0
3,39,15,11.0,1,1.0,1,0.0,0,0,1,0
4,35,9,100.0,1,2.7,2,0.0,0,1,0,0
5,35,8,45.0,4,1.0,2,0.0,0,1,0,0
6,37,13,29.0,4,0.4,2,155.0,0,1,0,0
7,53,27,72.0,2,1.5,2,0.0,0,1,0,0
8,50,24,22.0,1,0.3,3,0.0,1,0,0,0
9,35,10,81.0,3,0.6,2,104.0,0,1,0,0
10,34,9,180.0,1,5.2,3,0.0,1,0,0,1
11,65,39,105.0,4,2.4,3,0.0,1,0,0,0
12,29,5,45.0,3,0.1,2,0.0,0,1,0,0
13,48,23,114.0,2,3.8,3,0.0,1,0,0,0
14,59,32,40.0,4,2.5,2,0.0,0,1,0,0
15,67,41,112.0,1,2.0,1,0.0,0,0,1,0
16,60,30,22.0,1,1.5,3,0.0,1,0,0,0
17,38,14,130.0,4,4.7,3,134.0,1,0,0,1
18,42,18,81.0,4,2.4,1,0.0,0,0,1,0
19,46,21,186.5,2,5.2,3,0.0,1,0,0,1
20,55,28,21.0,1,0.5,2,0.0,0,1,0,0
21,56,31,25.0,4,0.9,2,111.0,0,1,0,0
22,57,27,63.0,3,2.0,3,0.0,1,0,0,0
23,29,5,62.0,1,1.2,1,252.5,0,0,1,0
24,44,18,43.0,2,0.7,1,163.0,0,0,1,0
25,36,11,152.0,2,3.9,1,159.0,0,0,1,0
26,43,19,29.0,3,0.5,1,97.0,0,0,1,0
27,40,16,83.0,4,0.2,3,0.0,1,0,0,0
28,46,20,158.0,1,2.4,1,0.0,0,0,1,0
29,56,30,48.0,1,2.2,3,0.0,1,0,0,0
30,38,13,119.0,1,3.3,2,0.0,0,1,0,1
31,59,35,35.0,1,1.2,3,122.0,1,0,0,0
32,40,16,29.0,1,2.0,2,0.0,0,1,0,0
33,53,28,41.0,2,0.6,3,193.0,1,0,0,0
34,30,6,18.0,3,0.9,3,0.0,1,0,0,0
35,31,5,50.0,4,1.8,3,0.0,1,0,0,0
36,48,24,81.0,3,0.7,1,0.0,0,0,1,0
